Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Make_Model
20001211X13675,Accident,ANC94LA016,1993-11-08,"CHEFORNAK, AK",United States,,,Z74,CHEFORNAK,Non-Fatal,Substantial,,N185FK,Cessna,A185F,No,1.0,Reciprocating,,NSCH,Unknown,Hageland Aviation Services,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,25-07-1994,Cessna A185F
20001211X13732,Incident,FTW94IA032,1993-11-11,"SUGAR LAND, TX",United States,,,SGR,SUGAR LAND MUNICIPAL,Incident,Minor,,N688NE,Fairchild,SA227-AC,No,2.0,Turbo Prop,,SCHD,Unknown,Conquest Airlines Corporation,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,13-09-1994,Fairchild SA227-AC
20001211X13782,Accident,MIA94LA023A,1993-11-15,"ORLANDO, FL",United States,,,ORL,ORLANDO EXECUTIVE AIRPORT,Non-Fatal,Substantial,,N91WW,Piper,PA-60,No,2.0,Reciprocating,,NSCH,Unknown,(dba: Cherokee Express),0.0,0.0,0.0,3.0,VMC,Taxi,Probable Cause,13-09-1994,Piper PA-60
20001211X13783,Accident,MIA94LA024,1993-11-19,"TAMPA, FL",United States,,,,,Non-Fatal,Substantial,,N8260Q,Cessna,U206F,No,1.0,Reciprocating,,NSCH,Unknown,Red Baron Aviation Inc.,0.0,0.0,0.0,2.0,VMC,Climb,Probable Cause,13-09-1994,Cessna U206F
20001211X13673,Incident,ANC94IA020,1993-11-30,"KING SALMON, AK",United States,,,AKN,KING SALMON,Incident,Minor,,N630PA,Swearingen,SA227,No,2.0,Turbo Prop,,SCHD,Unknown,(dba: Penair),0.0,0.0,0.0,11.0,VMC,Takeoff,Probable Cause,26-09-1994,Swearingen SA227
20001211X13814,Accident,ANC94LA026,1993-12-12,"PORT LIONS, AK",United States,,,ORI,PORT LIONS,Non-Fatal,Substantial,Airplane,N43527,Piper,PA-32,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Peninsula Airways (dba: Penair),0.0,0.0,0.0,5.0,VMC,Landing,Probable Cause,19-03-2009,Piper PA-32
20001211X13837,Accident,CHI94LA052,1993-12-17,"BIG RAPIDS, MI",United States,,,77D,ROBEN-HOOD,Non-Fatal,Substantial,,N8919G,Cessna,404,No,1.0,Reciprocating,,NSCH,Unknown,Superior Aviation,0.0,0.0,0.0,1.0,IMC,Approach,Probable Cause,18-01-1995,Cessna 404
20001206X00654,Accident,LAX94LA111,1994-01-08,"SANTA ROSA ISL, CA",United States,,,,SANTA ROSA ISLAND,Non-Fatal,Substantial,,N55JA,Britten-norman,BN2A-8 ISLANDER,No,2.0,Reciprocating,,NSCH,Unknown,Channel Islands Aviation,0.0,0.0,0.0,10.0,VMC,Landing,Probable Cause,14-11-1994,Britten-norman BN2A-8 ISLANDER
20001206X00587,Accident,ATL94LA045A,1994-01-27,"MEMPHIS, TN",United States,,,MEM,MEMPHIS INTERNATIONAL,Non-Fatal,Substantial,,N3844C,Cessna,310R,No,2.0,Reciprocating,,NSCH,Unknown,"Ras, Inc.",0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,14-11-1994,Cessna 310R
20001206X00623,Incident,FTW94IA077,1994-01-31,"AMARILLO, TX",United States,,,AMA,AMARILLO INTERNATIONAL,Incident,Minor,,N1437B,Fokker,F28 MK O100,No,2.0,Turbo Fan,,SCHD,Unknown,(dba: American Airlines),0.0,0.0,0.0,28.0,VMC,Takeoff,Probable Cause,14-02-1995,Fokker F28 MK O100
